URL;PublicationDate;ReferenceNumber;ReferenceURL;Initiative;Name;Keywords;Topics
https://portal.opengeospatial.org/files/?artifact_id=46394;2011;11-097;na;OGC Web Services, Phase 8 (OWS-8);OWS-8 AIXM 5.1 Compression Benchmarking;DDIL;Domains.Aviation,DataModels.AIXM
https://portal.opengeospatial.org/files/?artifact_id=46019;2012;11-086r1;na;OGC Web Services, Phase 8 (OWS-8);OWS-8 Aviation Thread - Authoritative AIXM Data Source Engineering Report;ontology, registry, security;Domains.Aviation, DataModels.AIXM
https://portal.opengeospatial.org/files/?artifact_id=46228;2011;11-089r1;na;OGC Web Services, Phase 8 (OWS-8);OWS-8 Engineering Report - Guidelines for International Civil Aviation Organization (ICAO) portrayal using SLD/SE;;Domains.Aviation
https://portal.opengeospatial.org/files/?artifact_id=46227;2011;11-106r1;na;OGC Web Services, Phase 8 (OWS-8);OWS-8 Digital NOTAM Refactor;;Domains.Aviation, DataModels.Modeling
https://portal.opengeospatial.org/files/?artifact_id=46322;2012;11-072r2;na;OGC Web Services, Phase 8 (OWS-8);OWS-8 Aviation – Weather Information Exchange Model (WXXM) Engineering Report;coverage, WCS;Domains.Aviation, DataModels.WXXM
https://portal.opengeospatial.org/files/?artifact_id=46094;2012;11-091;na;OGC Web Services, Phase 8 (OWS-8);OWS-8 Review of the WXXS exchange schemas;;Domains.Aviation, DataModels.WXXM
https://portal.opengeospatial.org/files/?artifact_id=47479;2011;11-107;na;OGC Web Services, Phase 8 (OWS-8);OWS-8 Domain Modelling Cookbook;;Domains.Aviation, DataModels.Modeling
https://portal.opengeospatial.org/files/?artifact_id=46793;2011;11-116;na;OGC Web Services, Phase 8 (OWS-8);OWS-8 Geoprocessing for Earth Observations Engineering Report;WCS, WCPS,WPS;DataModels.Modeling
https://portal.opengeospatial.org/files/?artifact_id=45404;2011;11-096;na;OGC Web Services, Phase 8 (OWS-8);OWS-8 WCS 2.0 Earth Observation Application Profile Engineering Report;;DataModels.Modeling,Services.WCS
https://portal.opengeospatial.org/files/?artifact_id=45407;2011;11-090;na;OGC Web Services, Phase 8 (OWS-8);OWS-8 Engineering Report Metadata Mapping between NASA ECS/HDF-EOS and WSC2.0;WCS;DataModels.Modeling,Services.WCS
https://portal.opengeospatial.org/files/?artifact_id=46171;2011;11-113r1;na;OGC Web Services, Phase 8 (OWS-8);OWS-8 Information Model for Moving Target Indicators and Moving Object Bookmarks (Engineering Report);video;DataModels.Modeling
https://portal.opengeospatial.org/files/?artifact_id=46170;2012;11-108;http://www.opengis.net/doc/ER/ows-8-mobile-object- processing;OGC Web Services, Phase 8 (OWS-8);OWS-8 Analysis of OGC Standards for Supporting Mobile Object Processing Implementation (Engineering Report);video;DataModels.Modeling
